3 100
3500 3
 1.73775  0.21108 -0.2262 
 1.98562  0.69278  0.03684
 2.28686  0.77474  0.78232
 1.94534  1.05319 -0.06143
 1.83097  0.94326 -0.59961
 2.02571  0.96507  0.02993
 1.95428  1.06767 -0.10934
 1.82514  1.31159  0.24665
 1.89296  0.8954  -0.96364
 2.00748  1.01975 -0.00917
 1.67192  1.13399 -0.33062
 2.02409  0.98264  0.09828
 2.09715  1.04412 -0.96063
 1.52294  0.83865 -0.15791
 2.02686  1.03223 -0.04235
 1.91878  0.75607  0.64997
 2.33283  1.22989 -0.1111 
 1.45868  0.70973  0.44142
 1.98881  0.7249   0.1633 
 1.62536  1.22399 -0.37224
 1.69739  1.44424  0.17513
 1.92944  1.01797 -0.80918
 2.15631  0.59449  0.12954
 2.02937  0.59987 -0.0044 
 2.03893  1.23915  0.3342 
 1.29772  1.08581 -0.28037
 1.93329  1.01163 -0.16984
 1.63897  0.34681  0.4659 
 2.02794  1.00259  0.34236
 1.44828  0.96013  0.11213
 1.50753  1.15788 -0.30821
 2.15116  1.12807  0.25287
 2.0007   1.00028  0.00032
 2.61634  1.19104 -0.6991 
 1.93705  1.00713  0.42632
 1.98983  1.00426 -0.05058
 2.31141  1.09753 -0.32507
 2.06861  0.82744 -0.47577
 1.8209   0.92328  0.11931
 2.06825  1.03615  0.03641
 1.98966  0.89557  0.0086 
 2.0118   0.99275  0.17373
 2.17926  1.01517 -0.14302
 1.74354  0.63581  0.04359
 2.31373  0.32821 -0.18663
 2.58951  1.01667 -0.03703
 1.70873  0.93769  0.24046
 1.85087  1.7245  -0.62328
 2.01939  0.99912 -0.05663
 2.07976  1.00167  0.78892
 2.07762  0.88081  0.17537
 2.78164  1.39108  0.12344
 2.45244  0.64077 -0.77341
 2.02613  1.05937 -0.09539
 1.94749  1.45514  0.30194
 1.9554   1.02134 -0.00424
 1.60488  1.23384 -0.43526
 2.52628  1.00674 -0.58678
 2.12355  0.89387  0.04303
 2.13859  1.13381  0.05783
 1.68244  1.2988  -0.83529
 2.25974  0.89026  0.17747
 2.10665  1.43852 -0.5305 
 2.13103  1.37842 -0.3019 
 1.47977  1.60733 -0.57181
 1.99965  0.99453  0.01111
 1.98582  1.33995  0.01899
 1.85287  1.0147   0.74077
 2.01229  0.99562  0.02047
 2.29544  0.5804  -0.58378
 1.98815  1.05463  0.00819
 1.89313  0.44356  0.13279
 2.21934  0.94379  0.39807
 2.05181  0.78956 -0.20022
 2.03773  0.92938  0.10927
 1.53586  1.05932 -0.16184
 1.92604  1.05388  0.09361
 2.71711  0.31388  0.10595
 1.97284  1.10762 -0.27332
 2.14748  1.05713 -0.26697
 2.11785  0.91197 -0.16114
 2.26296  1.10427 -0.0823 
 1.99705  0.99687  0.09451
 2.1337   0.9462  -0.69386
 1.83628  0.94582  0.89743
 2.50434  0.94166 -0.51995
 1.39272  1.71606 -0.08831
 1.72931  1.46537 -0.05437
 2.42926  0.79944 -0.47049
 2.20003  0.75269 -0.0921 
 2.60738  0.85196 -0.17356
 2.23754  0.93482 -0.73794
 2.02092  0.72847 -0.94718
 2.54991  1.18346 -0.6646 
 2.74138  0.6923  -0.51562
 2.35839  0.83503 -0.25511
 1.75786  1.38812  0.17765
 2.0727   0.97381  0.01481
 2.00196  1.1915  -0.1151 
 1.97819  1.01353 -0.03462
 1.83769  0.96329 -0.02393
 1.7907   0.87103  0.93765
 1.44634  1.10091  0.25898
 2.06595  1.06121  0.85312
 2.0011   0.99969 -0.01631
 2.11815  1.00387  0.63343
 2.11671  1.67365 -0.16085
 2.27092  0.6511  -0.33267
 2.1672   1.0762  -0.12287
 1.82048  0.51566  0.80616
 1.8636   0.96501  0.48668
 1.77606  1.06272 -0.97188
 1.71543  1.77425  0.09098
 1.15803  1.07189 -0.5136 
 2.01375  0.98995  0.16161
 2.03794  0.8816  -0.21957
 2.01298  0.98233 -0.00843
 2.08691  1.10442  0.12272
 1.96178  0.99907 -0.11923
 2.08538  1.14711  0.50848
 1.99755  0.99808  0.03007
 2.02176  0.89722 -0.40733
 2.28124  0.97548  0.6938 
 1.43756  1.28794  0.40511
 1.68577  1.44905  0.17765
 1.56395  1.05426  0.39467
 2.33407  1.38715 -0.32266
 2.35254  0.98732 -0.20295
 2.06919  1.106   -0.38107
 2.00688  1.28574 -0.12841
 1.93977  1.05292  0.60929
 2.7875   1.14604  0.17441
 1.82415  1.31258 -0.43215
 2.06305  1.02106  0.04838
 1.83179  1.21529 -0.10578
 1.92153  1.33138  0.02122
 2.03487  0.83875 -0.03966
 1.87093  1.09661  0.59886
 1.96651  1.01373  0.38909
 1.83132  0.99743  0.09889
 2.14672  0.62713 -0.28091
 1.88125  0.87951 -0.01086
 2.00445  1.05492 -0.63294
 2.14998  0.72335 -0.49455
 1.81097  1.0506   0.80051
 1.87463  0.88967 -0.00889
 1.32429  0.57773 -0.36675
 2.35507  0.90294 -0.87122
 1.89359  0.84884 -0.13527
 1.75455  0.63395 -0.1202 
 2.62679  0.8432   0.5775 
 2.01415  1.00522 -0.00035
 2.42148  1.2463   0.05257
 2.34731  1.18204 -0.1415 
 1.59871  1.00178 -0.31435
 2.00722  0.97682  0.04014
 2.85147  0.8854   0.00785
 2.0085   1.13475  0.25287
 1.61984  0.57229 -0.02316
 2.40072  1.181    0.28729
 1.55837  0.51146  0.60003
 2.26625  0.95306 -0.90765
 1.72416  1.37079 -0.35575
 2.27407  1.43736 -0.39031
 1.95914  1.03084 -0.19877
 2.17742  0.14906 -0.14303
 2.44086  1.60606 -0.37593
 1.97405  0.97037  0.77495
 2.00477  0.99906  0.00991
 1.74162  0.9253  -0.13031
 1.78352  1.07721  0.05676
 2.02255  0.92263  0.21959
 1.56458  0.54535 -0.21345
 2.21266  0.88668 -0.39251
 2.20417  1.00521 -0.53673
 1.9987   0.9031  -0.40673
 2.00901  1.02812  0.01789
 1.96406  0.9689  -0.43616
 2.10132  1.03622  0.89487
 1.98453  0.9906   0.10412
 1.99954  0.98759  0.02169
 1.97139  1.18173 -0.39738
 1.69802  0.77601 -0.68089
 2.43072  1.17156 -0.35617
 2.00599  1.01117  0.00815
 2.26693  1.02546  0.23303
 2.06137  1.0705   0.06795
 2.32401  1.53849 -0.1914 
 1.86883  1.14096  0.37826
 2.14316  1.07867 -0.7733 
 1.98513  1.27713  0.18732
 1.56962  1.29303  0.79267
 2.14433  1.09361  0.33568
 2.28277  1.60694 -0.45033
 2.08395  0.83556 -0.10371
 1.96153  0.71776 -0.68427
 1.81609  1.02791  0.89135
 1.94893  1.11931  0.00872
 2.42421  1.3262   0.6873 
 1.91875  1.48652  0.4673 
 2.5515   0.46564  0.59391
 2.02534  0.83169 -0.27312
 1.89251  1.08869  0.09326
 1.58127  0.75975 -0.33499
 1.80215  1.08876 -0.72764
 2.59184  1.05054  0.55773
 1.7053   0.79705  0.39152
 1.98788  0.9782   0.36194
 1.82032  0.71297 -0.5867 
 2.27541  1.15116 -0.55862
 2.16716  0.88991  0.599  
 1.53518  0.56239  0.75898
 1.6866   1.16846 -0.14715
 2.29356  0.1769   0.17339
 2.35688  1.00775 -0.33788
 1.22234  1.06207  0.36877
 1.97981  0.98591 -0.97479
 1.75371  0.94477  0.04515
 2.00539  1.01444  0.59939
 1.98745  0.92796  0.05022
 1.84095  1.37468  0.56482
 2.01086  0.93837  0.04754
 2.50814  1.39365  0.35876
 1.81289  0.49684  0.72329
 2.50841  0.9845  -0.43489
 2.0264   0.96524 -0.06108
 1.89836  1.15647 -0.03725
 1.81816  1.04876  0.06409
 2.61596  1.52316 -0.4853 
 1.954    0.94709 -0.64731
 2.00484  0.98074  0.00917
 2.00259  0.88927  0.53818
 1.63002  1.26842 -0.06984
 1.74924  1.46593 -0.68271
 1.89421  0.60695 -0.56395
 1.91633  1.1472   0.18042
 2.08679  0.89525 -0.6223 
 2.02276  0.89645 -0.00924
 1.84228  1.20495  0.35126
 2.01029  0.9982   0.27189
 1.80279  0.79257  0.32581
 2.35617  0.87473 -0.89708
 2.03352  0.98287  0.47228
 1.99975  1.00031  0.03106
 1.52091  1.12531  0.02845
 2.08229  0.96787  0.95546
 2.3724   0.59239  0.01217
 1.62926  0.41686 -0.52118
 2.0607   1.10008  0.44367
 1.98937  1.32533 -0.11904
 1.9783   0.48618  0.7225 
 1.63066  1.42456  0.58201
 2.02193  1.22325 -0.50068
 1.9225   1.07153 -0.61927
 1.93201  0.95575 -0.05684
 2.47225  0.97858  0.56259
 1.64244  0.68077 -0.47505
 2.90277  0.90915 -0.03603
 2.1116   0.90069 -0.60918
 2.09916  1.0667   0.36865
 1.9651   1.41583 -0.29736
 1.87676  1.11094 -0.71688
 2.4473   1.65775  0.13058
 1.6068   1.04518 -0.00225
 1.93086  1.18285 -0.43992
 2.0165   0.90497 -0.21463
 1.6081   1.33003  0.66179
 2.02342  0.78678 -0.17586
 1.96083  0.89673 -0.47167
 1.86608  1.11342  0.15067
 1.91919  0.94887 -0.01004
 2.47364  1.27743 -0.11673
 1.98579  1.03158  0.06737
 1.68561  0.86787 -0.09135
 1.99686  1.01049 -0.00893
 1.87009  0.92613 -0.67133
 1.47531  0.65805  0.07862
 1.63774  1.07025 -0.00492
 2.05041  1.07187  0.4832 
 1.66932  1.86676  0.28794
 1.98504  0.99592 -0.02525
 1.49533  1.78276 -0.01567
 2.03225  1.05972 -0.07416
 1.91122  0.86759 -0.46893
 1.77592  1.04794  0.17812
 1.74616  0.97865 -0.06127
 1.72596  0.44844 -0.44204
 1.83406  1.085    0.61791
 1.59565  1.38649  0.40898
 1.84015  1.53782 -0.53667
 2.11674  0.02949  0.19337
 2.10129  0.87554 -0.33159
 1.8404   1.0063  -0.21096
 2.02906  0.95895  0.0712 
 1.48222  0.6446  -0.05214
 2.14624  1.02981  0.47383
 2.22654  1.94502 -0.13208
 2.01013  0.3603   0.40414
 1.94361  1.01711  0.13626
 2.60699  1.2679   0.11479
 1.91703  1.33061 -0.10497
 1.99313  0.98459  0.00634
 2.21395  0.96893 -0.58518
 2.17516  1.10178  0.14085
 1.73515  0.97382 -0.32303
 1.84699  0.90521  0.86882
 1.91521  0.98192  0.51918
 1.84903  1.16664 -0.42267
 1.71974  1.02897  0.32451
 2.48241  0.78112 -0.59492
 1.93579  0.80673 -0.06869
 1.5661   1.05441 -0.68827
 1.95438  0.92845 -0.53876
 2.3208   0.59541 -0.15601
 2.05241  0.62485 -0.32164
 2.18006  0.93543 -0.6412 
 1.9667   0.9899   0.0406 
 2.03789  0.95004 -0.19915
 2.27449  1.14552 -0.28536
 1.99089  1.32921 -0.31142
 1.16798  0.97073 -0.0304 
 2.02379  0.96813 -0.08815
 2.41691  0.4126  -0.14833
 2.12496  1.0449   0.25166
 1.91092  1.08638 -0.26303
 1.55361  1.38955 -0.70919
 2.05247  1.01397 -0.15052
 2.0186   0.93077  0.41578
 2.0865   1.04384 -0.69176
 1.92285  1.02074 -0.27333
 1.96846  1.42021  0.06897
 1.95421  0.81192  0.13849
 1.83315  1.45684  0.60985
 2.00023  0.99647 -0.53784
 1.89284  1.31105 -0.04377
 1.99274  1.01041 -0.33415
 2.55951  1.00797 -0.16037
 1.77332  1.02744 -0.08423
 2.00768  1.04267  0.07994
 1.95037  1.00697 -0.08255
 2.38368  1.76906  0.27419
 1.68314  0.87165  0.05436
 1.89697  0.83628 -0.10862
 1.81524  0.99484  0.22947
 2.03873  0.97855 -0.1234 
 1.86094  1.44423 -0.01312
 2.06279  1.56145 -0.59098
 2.00812  1.03231 -0.09024
 1.83059  1.06022  0.25021
 2.04533  1.0928  -0.23055
 1.07906  1.14006  0.34256
 2.34129  1.45399  0.25082
 1.75028  1.34284  0.16083
 2.02183  1.33739  0.29748
 1.77691  1.01222 -0.75088
 2.07628  0.89221  0.12012
 1.98848  1.14982 -0.67566
 1.48292  1.06775 -0.29081
 2.21451  0.72493 -0.25861
 1.78197  0.98071  0.0079 
 1.94988  1.13465 -0.2624 
 2.70091  0.71595  0.03037
 1.94925  0.95895  0.84505
 2.01547  1.05707 -0.22323
 2.32339  0.84129 -0.14387
 1.99058  1.4579   0.24013
 2.65963  1.38646 -0.55394
 2.01405  0.88812  0.28748
 1.70955  0.95995 -0.69975
 2.00097  1.00052 -0.00694
 1.75294  1.19907 -0.08113
 1.93149  0.89157  0.65602
 1.45228  1.05686 -0.31468
 2.10561  1.0012  -0.13645
 1.89041  1.17946  0.32474
 1.96913  1.04818 -0.13976
 1.32801  0.86488 -0.01083
 2.03844  0.9917  -0.1778 
 2.11937  1.71644 -0.33553
 2.22012  1.20093  0.33146
 1.98668  0.98798  0.12574
 2.28678  0.99342  0.61296
 2.26831  1.31674 -0.59784
 2.01348  0.97542 -0.13592
 1.91245  1.21294  0.71558
 2.28451  0.9919  -0.01924
 1.85364  0.77154 -0.22102
 2.01938  0.86365 -0.21978
 2.15903  0.73784  0.50926
 2.0146   0.82453 -0.59943
 2.03422  0.93836  0.95555
 1.99964  1.00045  0.02365
 2.00806  1.00633 -0.0153 
 2.73039  0.95316  0.61275
 1.98796  0.95666 -0.06611
 2.29639  1.44948 -0.33962
 1.69819  1.30949 -0.17715
 1.82419  1.00519  0.13165
 2.06072  0.78359  0.13614
 1.32219  0.88892 -0.647  
 2.03102  1.30311  0.50547
 2.2892   0.85148 -0.08061
 2.20766  0.91033  0.09901
 1.8696   0.82403  0.04963
 2.82267  1.17484  0.28719
 1.9485   1.06974  0.16199
 2.32835  1.06694 -0.70796
 2.25985  0.99268 -0.82874
 2.01688  1.15611 -0.07253
 2.0526   0.94258 -0.04177
 2.55114  1.13904  0.17162
 1.97293  0.94105 -0.15766
 2.11794  1.40322  0.37781
 2.30701  0.5364   0.27019
 2.14418  0.87883  0.38973
 1.27855  1.24381  0.02665
 1.64888  0.96685 -0.03851
 1.26709  0.9048  -0.24909
 1.68351  1.04968  0.14693
 1.48659  1.16092 -0.38373
 1.77941  1.27557  0.69291
 1.51348  1.10921  0.8151 
 1.95926  1.26869 -0.69386
 1.9948   1.01203 -0.04025
 1.96182  0.96132 -0.10619
 1.99487  1.03997  0.00367
 1.74128  1.06071  0.3471 
 1.95183  1.04232 -0.28329
 1.86412  1.01665  0.49127
 1.98033  1.09259  0.88966
 1.98249  0.94809  0.06942
 1.99945  1.01716 -0.13237
 2.07343  1.07198 -0.01078
 1.99395  0.95976  0.06517
 1.98931  1.04677 -0.01911
 1.71206  1.0548   0.69572
 2.00724  1.0016   0.60479
 1.4503   1.78959  0.12835
 2.00329  0.96073  0.04039
 1.99896  1.0065   0.94413
 2.00436  1.00555 -0.33527
 1.99048  0.82859  0.00089
 2.20617  0.82278 -0.4306 
 1.56645  0.72323  0.38819
 2.05637  1.08266 -0.25597
 2.73899  0.56941  0.20656
 2.20066  0.97217 -0.72751
 2.12344  0.84314  0.80406
 1.94738  0.84663 -0.47961
 2.18852  0.78457  0.44173
 2.34614  1.23577 -0.22809
 2.00759  0.93849 -0.17514
 1.77774  1.23066 -0.53246
 1.48943  1.03343  0.57   
 1.98436  0.9052  -0.1185 
 2.28428  1.21493 -0.15484
 1.96449  0.90698 -0.02532
 1.99312  1.00057  0.04121
 1.99161  0.99156 -0.01664
 1.99635  1.6443  -0.4838 
 1.96537  1.05051  0.06513
 2.66055  0.94126  0.00938
 1.9971   0.99731 -0.02462
 2.11438  0.94315  0.04339
 1.99551  0.85069  0.77578
 1.57855  1.53885 -0.57534
 2.02431  0.50336 -0.38524
 2.0003   1.00003 -0.00039
 2.03774  0.66024  0.86811
 1.79992  1.23269  0.07025
 1.9165   0.99963 -0.13674
 2.01433  0.77913 -0.44668
 2.20924  1.0917  -0.01936
 2.06683  1.07652  0.29543
 2.04395  1.03263  0.0413 
 1.81851  1.4285  -0.44275
 1.77282  0.91868  0.33982
 1.81246  0.55241  0.24507
 2.77602  0.51538  0.02302
 2.22654  1.36699  0.5799 
 1.16416  0.92256 -0.41495
 2.00242  1.00526 -0.11555
 2.15031  1.21014  0.26465
 1.96742  0.81059  0.26428
 2.0102   1.07235  0.56218
 1.86012  1.01977 -0.85906
 1.92951  1.208    0.85872
 1.59136  0.86822 -0.66692
 2.08032  0.93589  0.70389
 2.0476   0.95101 -0.8612 
 2.83564  1.19321 -0.27721
 1.9946   0.93425  0.03995
 2.03711  0.68623  0.0046 
 1.89921  0.98849 -0.34669
 2.06492  1.16952  0.24884
 2.78238  0.81527 -0.54793
 2.00154  0.99945  0.00543
 2.48185  0.66199  0.4812 
 2.62914  0.64343 -0.18548
 1.72941  1.54855 -0.16621
 1.82443  1.04178 -0.11799
 2.63751  1.20271 -0.01566
 2.00643  1.00342 -0.20141
 2.11595  1.17096  0.8244 
 2.09307  0.50023 -0.02413
 2.08397  0.94665  0.04871
 1.94365  0.79537  0.22949
 2.07106  1.00459  0.62275
 2.55736  0.88975 -0.21088
 2.07574  0.76282 -0.86709
 1.95804  1.00562  0.76181
 1.99103  0.99586 -0.0832 
 2.07464  1.70217 -0.53629
 1.98884  0.95051 -0.00293
 1.93542  1.80807  0.42171
 1.97427  0.99639 -0.05843
 1.58747  1.36948 -0.30744
 2.13967  1.02157 -0.41918
 1.87195  1.01383  0.05744
 1.90367  0.87966 -0.00552
 1.74126  0.77729  0.60606
 2.00086  1.25014  0.3212 
 1.96153  0.98507 -0.08708
 2.36285  0.59651  0.60336
 2.01142  0.99912 -0.77412
 2.35852  1.2818  -0.10813
 1.55383  0.75458 -0.06972
 2.62115  1.09559  0.5009 
 2.46021  1.16955  0.2327 
 2.08652  1.04004 -0.84601
 2.21039  1.11523 -0.30174
 1.97261  1.02721 -0.42717
 2.72999  1.09769  0.41121
 2.015    1.01447  0.06012
 2.54239  1.59899  0.57828
 2.60792  0.64427  0.70699
 1.98977  0.97666  0.07922
 2.12234  1.32022  0.82266
 1.46599  0.9411   0.73462
 2.76165  0.94743 -0.62413
 2.00882  0.99855  0.00261
 2.10046  0.92231 -0.11086
 2.23242  0.2081  -0.33124
 2.03305  1.2279   0.34021
 2.70835  1.36163  0.3301 
 1.52212  1.54874 -0.3541 
 1.75587  1.43512 -0.33043
 2.7107   1.35517  0.1828 
 2.27527  1.09675 -0.8193 
 1.84041  1.06674 -0.03379
 1.98634  1.01     0.35755
 1.98628  0.99794 -0.0324 
 2.03362  1.09628 -0.08916
 2.19688  1.05391  0.42927
 2.03637  0.9955   0.45327
 2.13778  0.9381  -0.21709
 1.91643  1.03196 -0.65273
 2.47894  0.74943  0.3326 
 1.99452  1.00009  0.02062
 2.12935  1.44606  0.26259
 2.01811  0.98296 -0.56244
 2.25223  1.35311 -0.19164
 2.01909  1.00807  0.03781
 1.90627  0.88343 -0.0139 
 1.96339  1.00279  0.08231
 1.11504  1.15078 -0.39285
 2.03792  1.03852 -0.13477
 1.90977  0.73628  0.74246
 2.0427   0.57463  0.12626
 1.84052  1.25419  0.13372
 1.92463  0.9148  -0.23021
 1.47321  1.71502 -0.26347
 1.67241  1.03898  0.47148
 2.11854  1.15519 -0.21387
 2.16296  0.95627 -0.41223
 1.99949  0.99954 -0.00174
 1.91631  0.62969 -0.6916 
 1.73352  1.11994 -0.38918
 2.19081  1.35568  0.23911
 1.89627  0.92854  0.41442
 2.22479  0.66732 -0.71159
 2.37027  0.74548  0.46198
 2.03523  0.78596  0.31596
 2.1382   1.29838  0.02343
 1.98145  0.9653  -0.27671
 2.28873  1.2504   0.81931
 2.32768  0.73098 -0.18698
 2.0678   1.0704  -0.21508
 1.60969  0.76253 -0.36473
 1.94724  1.00423  0.64825
 1.94424  0.81008  0.71302
 2.24236  0.80038  0.43023
 1.71348  0.56717 -0.07847
 2.26996  1.48976 -0.1488 
 1.80757  0.33527  0.08336
 1.99833  0.82584  0.89776
 1.3111   0.9484  -0.27025
 1.96063  0.8064   0.93098
 2.07103  0.96011  0.01537
 2.06795  0.99403  0.23701
 2.25938  0.26539 -0.02274
 1.89365  0.87225  0.04882
 2.16615  0.92319  0.56888
 2.15137  1.2902  -0.02238
 1.77926  1.30615  0.00076
 2.73733  1.34889  0.03782
 1.49027  0.5792  -0.15813
 2.08992  1.26812 -0.1095 
 1.98264  0.98054  0.15564
 2.03158  0.66435 -0.73176
 1.86951  0.60164  0.20846
 2.01341  0.95067 -0.44959
 2.09409  1.00633  0.1415 
 2.06292  1.16623  0.4303 
 1.9112   1.22421  0.05584
 2.01079  1.49454 -0.46752
 1.25203  1.07451 -0.3512 
 1.95855  0.98153  0.32036
 2.0942   1.40974  0.06147
 1.99058  1.01273  0.32508
 1.96519  0.92478  0.54204
 1.70485  0.9855   0.20094
 1.26068  1.33031  0.14849
 1.59593  0.76254  0.18567
 2.30998  1.4972  -0.15593
 1.72872  1.11936 -0.22245
 1.52915  0.56518  0.32776
 2.37239  1.0856  -0.31839
 1.82061  0.92964  0.02349
 2.01416  0.96384  0.25417
 2.13986  0.96804 -0.491  
 1.85831  1.09128 -0.04612
 1.96216  1.02635 -0.02443
 1.96736  1.01796  0.00148
 2.00096  0.96945 -0.00084
 1.99621  1.00582  0.18939
 2.15315  1.17468 -0.1815 
 1.8908   1.41978 -0.51488
 2.01836  0.47974 -0.15892
 2.05287  0.89967  0.17333
 2.00297  1.00035  0.01124
 2.5305   0.44088 -0.3635 
 1.97062  1.44759 -0.82936
 2.45024  0.84911  0.16438
 1.87422  1.71396 -0.31366
 2.04654  1.03757 -0.25431
 2.25538  1.16829  0.10064
 1.43538  0.91619  0.6936 
 2.4295   1.52722  0.47055
 2.13106  0.11436  0.28477
 2.05352  1.06137 -0.33485
 2.01309  1.38608  0.53838
 2.25752  0.74769  0.10906
 1.89216  0.92047 -0.4435 
 2.11441  0.91033  0.0028 
 2.16695  1.44697  0.7171 
 2.7414   1.3584   0.39476
 2.2434   0.88884  0.49811
 2.70424  1.18529 -0.62188
 1.62217  1.04079  0.16099
 2.32338  1.5869   0.71476
 2.02797  1.02956 -0.12481
 2.02451  0.82738  0.41273
 1.98945  0.9993  -0.05999
 2.1506   1.49129  0.18034
 1.87937  0.7219  -0.26643
 1.85312  0.36196 -0.19989
 1.67919  0.33789  0.50094
 2.10608  0.95836  0.27468
 1.29388  1.09928  0.23809
 2.0027   0.9482  -0.12374
 2.04612  0.59305  0.31116
 1.81184  1.03111 -0.08064
 2.10878  0.60352 -0.19687
 2.06395  1.10912  0.01356
 2.52989  0.64618 -0.01973
 2.30726  1.38587  0.1463 
 1.79232  0.83778 -0.09093
 2.08972  0.81272  0.87747
 1.54518  1.46698  0.10811
 1.45433  0.99572 -0.12987
 1.9332   1.604   -0.09073
 1.99633  1.00387  0.03071
 2.0035   0.99414  0.01057
 2.03582  1.0293   0.17113
 2.07634  1.14063 -0.03391
 2.25906  1.03894  0.30193
 2.13259  0.8144   0.71101
 2.00044  1.00011  0.03346
 2.01533  1.51887  0.16781
 2.03469  1.40119  0.22476
 1.3763   1.2171  -0.73253
 2.01316  1.01556  0.05428
 2.51033  0.60048 -0.33888
 1.98266  1.0428  -0.0557 
 2.2065   0.84396  0.75093
 1.81681  1.53672 -0.01516
 1.99715  0.99087 -0.0092 
 2.1509   1.14603  0.73039
 1.77925  0.67324 -0.61595
 1.97109  0.93423  0.00987
 1.53175  0.45875 -0.07408
 1.27151  0.9293  -0.27857
 1.36549  0.25183  0.04024
 1.97009  1.01032  0.0753 
 2.2754   0.73088 -0.47524
 2.00895  0.91669  0.06326
 2.08604  0.95305  0.1136 
 2.34471  1.04568 -0.24386
 1.98162  1.06224  0.09707
 2.44277  0.94587 -0.58049
 2.36046  0.2396   0.31363
 2.72106  1.57509 -0.21157
 2.07903  0.88213 -0.08327
 2.08052  0.72408 -0.78777
 2.07075  1.05949  0.74098
